date,category,name,ticker,units,nav_at_purchase,current_nav
01-05-2023,Ind_Stock,TECHM.NS,TECHM.NS,8,1075,1462.8
17-05-2024,Ind_Stock,JSWSTEEL.NS,JSWSTEEL.NS,23,894.5,1150.6
30-10-2024,Ind_Stock,JSWSTEEL.NS,JSWSTEEL.NS,20,967,1150.6
21-01-2025,Ind_Stock,JSWSTEEL.NS,JSWSTEEL.NS,3,931.9,1150.6
01-05-2023,Ind_Stock,TATASTEEL.NS,TATASTEEL.NS,162,110.19,176.66
14-05-2024,Ind_Stock,TATASTEEL.NS,TATASTEEL.NS,115,158.8,176.66
17-05-2024,Ind_Stock,TATASTEEL.NS,TATASTEEL.NS,184,167,176.66
23-09-2024,Ind_Stock,TATASTEEL.NS,TATASTEEL.NS,510,154,176.66
21-01-2025,Ind_Stock,TATASTEEL.NS,TATASTEEL.NS,35,131.69,176.66
01-05-2023,Ind_Stock,LT.NS,LT.NS,15,2338.33,3923.8
14-05-2024,Ind_Stock,LT.NS,LT.NS,5,3243,3923.8
17-05-2024,Ind_Stock,LT.NS,LT.NS,12,3439.28,3923.8
23-09-2024,Ind_Stock,LT.NS,LT.NS,20,3759,3923.8
21-01-2025,Ind_Stock,LT.NS,LT.NS,1,3587.8,3923.8
17-05-2024,Ind_Stock,HAL.NS,HAL.NS,4,4507.4,4756.8
21-01-2025,Ind_Stock,HAL.NS,HAL.NS,1,4167.8,4756.8
14-05-2024,Ind_Stock,AMBUJACEM.NS,AMBUJACEM.NS,32,574.5,560.25
17-05-2024,Ind_Stock,AMBUJACEM.NS,AMBUJACEM.NS,33,612.99,560.25
23-09-2024,Ind_Stock,AMBUJACEM.NS,AMBUJACEM.NS,14,619,560.25
01-05-2023,Ind_Stock,PNCINFRA.NS,PNCINFRA.NS,14,318.07,281.3
01-05-2023,Ind_Stock,VEDL.NS,VEDL.NS,18,278.28,505.25
17-05-2024,Ind_Stock,VEDL.NS,VEDL.NS,47,437.06,505.25
21-01-2025,Ind_Stock,VEDL.NS,VEDL.NS,5,464.4,505.25
17-05-2024,Ind_Stock,MOTHERSON.NS,MOTHERSON.NS,241,128.5,106.93
30-10-2024,Ind_Stock,MOTHERSON.NS,MOTHERSON.NS,117,186,106.93
01-05-2023,Ind_Stock,GTLINFRA.NS,GTLINFRA.NS,650,1.8,1.46
17-05-2024,Ind_Stock,HINDALCO.NS,HINDALCO.NS,31,653,840.85
01-05-2023,Ind_Stock,MAHLOG.NS,MAHLOG.NS,20,364.4,353.95
01-05-2023,Ind_Stock,IDEA.NS,IDEA.NS,551,8.08,9.97
01-05-2023,Ind_Stock,INDUSTOWER.NS,INDUSTOWER.NS,25,171.8,371.3
17-05-2024,Ind_Stock,INDUSTOWER.NS,INDUSTOWER.NS,29,346.35,371.3
23-09-2024,Ind_Stock,NMDC.NS,NMDC.NS,447,64.3,74.37
01-05-2023,Ind_Stock,SHYAMMETL.NS,SHYAMMETL.NS,26,338.31,897.1
